last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Boyd, Matthew,571510,2019,L,3024,49.9,92.1,2383,53.9,92,2381,40.1,78.9,2363,6,79.1,1956,
Corbin, Patrick,571578,2019,L,3299,19.4,91.8,2283,53.7,91.8,2227,40.6,80.5,2363,5.7,81.8,1646,
Fiers, Mike,571666,2019,R,2753,32.4,90.4,2327,52.2,90.3,2301,35.3,80,2635,12.5,84.1,1938,
Mikolas, Miles,571945,2019,R,2804,27.4,93.7,2303,51.2,93.6,2268,45,82.9,2451,3.9,87.8,1705,
Stroman, Marcus,573186,2019,R,3046,2.4,92.9,2455,62.8,91.9,2452,31.8,85.4,2833,5.3,87,1929,
Ray, Robbie,592662,2019,L,3058,42.7,92.4,2257,52.7,92.4,2243,47.3,83.3,2110,,,,
Syndergaard, Noah,592789,2019,R,3094,29.3,97.8,2197,59,97.6,2151,24.7,85.7,2219,16.3,91.1,1689,
Rodriguez, Eduardo,593958,2019,L,3279,38.9,93,2198,70.7,91.9,2192,5.4,83.2,2253,23.9,87.6,2049,
deGrom, Jacob,594798,2019,R,3075,48.1,96.9,2389,49.2,96.9,2387,35.3,91.8,2461,15.6,90.2,1698,
Gonzales, Marco,594835,2019,L,3162,0.9,88.1,2208,60.1,87.6,2250,15.9,76.3,2346,24.1,81.2,2171,
Junis, Jakob,596001,2019,R,2924,33.7,91.7,2079,50.9,91.5,2026,43.7,81.4,2490,5.4,84.6,1336,
Musgrove, Joe,605397,2019,R,2654,37.6,92.7,2419,57.9,91.9,2404,31.6,82.9,2519,10.6,85.3,2001,
Nola, Aaron,605400,2019,R,3331,35.4,93.1,2171,46.2,92.8,2162,35.2,79.1,2574,18.6,85.8,1570,
Fried, Max,608331,2019,L,2669,53.1,93.8,2077,57,93.8,2072,40.7,78.1,2737,2.4,84.8,1514,
Giolito, Lucas,608337,2019,R,2814,55,94.2,2333,55,94.2,2333,18.8,83.4,2140,26.2,81.7,1563,
Marquez, German,608566,2019,R,2616,35.4,95.7,2225,52.4,95.4,2207,44.6,86.1,2540,3,87.8,1969,
